UGC12893  12893        00 00 28.0 +17 13 09  8640 0.68     0.3  0.1 VI
UGC   89     89    23  00 09 53.4 +25 55 24  8640 0.68     3.3  0.4 VI
UGC   94     94    26  00 10 25.9 +25 49 54  6240 0.68     2.2  0.3 VI
UGC  508    508   266  00 49 47.8 +32 16 40  9720 0.68     4.8  0.6 IV
UGC  528    528   278  00 52 04.6 +47 33 01  3600 0.96    75.4 13.1 II
UGC  763    763   428  01 12 55.7 +00 58 53  4680 0.68    27.8  3.3 IV
UGC 1013   1013   536  01 26 21.9 +34 42 11  3840 0.68              VI
NGC  542          542  01 26 30.9 +34 40 31  3840 0.68     0.5  0.1 VI
UGC 1117   1117   598  01 33 51.0 +30 39 35  5760 0.68 >= 97.6 11.6 IV
UGC 1249   1249        01 47 29.9 +27 19 60  6000 0.96 >= 17.8  3.1 II
UGC 1256   1256   672  01 47 54.7 +27 25 57 11040 0.96 >= 25.9  4.5 II
UGC 1317   1317   697  01 51 17.6 +22 21 28  4800 0.68     8.3  1.0 VI
UGC 1437   1437   753  01 57 42.2 +35 54 58  6720 0.68     7.9  0.9 VI
UGC 1655   1655   828  02 10 09.7 +39 11 25 12720 0.68     0.3  0.1 VI
UGC 1736   1736   864  02 15 27.7 +06 00 08  7560 0.68     6.2  0.7 IV
UGC 1810   1810        02 21 28.7 +39 22 32  7200 0.68     2.1  0.2 VI
UGC 1886   1886        02 26 00.6 +39 28 15  6120 0.68     3.2  0.4 IV
UGC 1913   1913   925  02 27 17.3 +33 34 44  3960 0.68 >= 44.9  5.3 IV
UGC 2023   2023        02 33 18.5 +33 29 30 14160 0.96     3.9  0.7 II
UGC 2034   2034        02 33 42.9 +40 31 41 15840 0.96     1.5  0.3 I
UGC 2045   2045   972  02 34 13.4 +29 18 40  6120 0.68    22.4  2.7 IV
UGC 2053   2053        02 34 29.3 +29 44 60  9120 0.96     0.3  0.1 II
UGC 2082   2082        02 36 16.2 +25 25 25  7200 0.96     4.0  0.7 II
UGC 2080   2080        02 36 27.9 +38 58 09 21840 0.96    12.9  2.2 I
UGC 2141   2141  1012  02 39 14.9 +30 09 04  5040 0.68    23.0  2.7 IV
UGC 2183   2183  1056  02 42 48.3 +28 34 27  5760 0.68     3.4  0.4 IV
UGC 2193   2193  1058  02 43 30.1 +37 20 28  7920 0.68     6.5  0.8 IV
UGC 2455   2455  1156  02 59 42.3 +25 14 13  3840 0.96    32.2  5.6 I
UGC 2503   2503  1169  03 03 34.8 +46 23 10  7200 0.68     4.5  0.5 IV
UGC 2800   2800        03 40 03.6 +71 24 19  8880 0.96     2.0  0.4 I
UGC 2855   2855        03 48 20.7 +70 07 57  7200 0.96    25.0  4.3 II
UGC 3013   3013  1530  04 23 26.7 +75 17 44  3360 0.68     4.8  0.6 IV
UGC 3056   3056  1569  04 30 49.2 +64 50 52  6000 0.68   270.5 32.0 VI
UGC 3273   3273        05 17 45.1 +53 33 01  4800 0.68     3.6  0.4 IV
UGC 3334   3334  1961  05 42 04.6 +69 22 43  5040 0.68    20.2  2.4 VI
UGC 3382   3382        05 59 47.7 +62 09 28 19200 0.68     0.4  0.1 VI
UGC 3384   3384        06 01 37.2 +73 07 01  4320 0.68     1.4  0.2 IV
UGC 3429   3429  2146  06 18 38.4 +78 21 26  6480 0.68    30.7  3.6 IV
UGC 3463   3463        06 26 55.8 +59 04 47  6960 0.68    11.1  1.3 VI
UGC 3574   3574        06 53 10.4 +57 10 40 10080 0.96 >=  8.7  1.5 I
UGC 3521   3521        06 55 00.1 +84 02 30  8400 0.68     0.7  0.1 VI
UGC 3528   3528        06 56 10.6 +84 04 44  8400 0.68     0.3  0.1 VI
UGC 3618   3618  2308  06 58 37.6 +45 12 38  6000 0.68              VI
UGC 3691   3691        07 08 01.4 +15 10 39  3960 0.68    12.2  1.4 IV
UGC 3685   3685        07 09 05.9 +61 35 44  5520 0.68     8.0  0.9 VI
UGC 3708   3708  2341  07 09 12.0 +20 36 11  6480 0.68     1.2  0.1 VI
UGC 3709   3709  2342  07 09 18.1 +20 38 10  6480 0.68     4.2  0.5 VI
UGC 3734   3734  2344  07 12 28.7 +47 10 00 11040 0.68 >=  3.7  0.4 IV
UGC 3826   3826        07 24 28.0 +61 41 38  4560 0.68     4.0  0.5 VI
UGC 3809   3809  2336  07 27 03.9 +80 10 42  9120 0.96 >= 25.4  4.4 III
UGC 3740   3740  2276  07 27 13.1 +85 45 16  4800 0.68    63.8  7.6 VI
UGC 3851   3851  2366  07 28 51.9 +69 12 31  7200 0.96 >=128.5 22.3 III
UGC 3876   3876        07 29 17.5 +27 54 00 15600 0.68     1.5  0.2 VI
UGC 3915   3915        07 34 55.8 +31 16 34  6000 0.68     9.3  1.1 VI
IC   476               07 47 16.5 +26 57 03  6240 0.68     0.2  0.1 VI
UGC 4026   4026  2449  07 47 20.4 +26 55 48  6240 0.68     0.5  0.1 VI
UGC 4165   4165  2500  08 01 53.2 +50 44 15  9600 0.68    13.6  1.6 VI
UGC 4256   4256  2532  08 10 15.2 +33 57 24  6960 0.68     2.9  0.3 VI
UGC 4273   4273  2543  08 12 57.9 +36 15 16  6240 0.68     9.0  1.1 IV
UGC 4274   4274  2537  08 13 14.9 +45 59 31  2640 0.96    15.3  2.7 III
UGC 4278   4278        08 13 58.9 +45 44 37  7200 0.96 >= 14.9  2.6 III
UGC 4284   4284  2541  08 14 40.2 +49 03 42  7440 0.96 >= 34.0  5.9 III
UGC 4305   4305        08 19 18.4 +70 43 03  6240 0.96 >= 94.2 16.4 III
UGC 4325   4325  2552  08 19 20.0 +50 00 31  6240 0.96     3.8  0.7 I
UGC 4393   4393        08 26 04.4 +45 58 02  6960 0.68     5.4  0.6 VI
UGC 4422   4422  2595  08 27 42.0 +21 28 45  7200 0.68     3.2  0.4 VI
UGC 4456   4456        08 32 03.5 +24 00 39  6720 0.68     2.0  0.2 VI
UGC 4499   4499        08 37 41.5 +51 39 10 10560 0.96     3.5  0.6 I
UGC 4543   4543        08 43 21.4 +45 44 10 13680 0.96     2.8  0.5 III
UGC 4555   4555  2649  08 44 08.4 +34 43 02  6960 0.68     1.5  0.2 VI
UGC 4770   4770  2746  09 05 59.4 +35 22 38  7920 0.68     0.6  0.1 VI
UGC 4820   4820  2775  09 10 20.1 +07 02 17  8400 0.68     9.5  1.1 VI
UGC 4936   4936  2805  09 20 20.4 +64 06 10  6960 0.96    16.6  2.9 III
UGC 5045   5045        09 28 10.2 +44 39 52  6960 0.68     3.5  0.4 VI
UGC 5175   5175  2977  09 43 46.8 +74 51 35  5520 0.68     5.2  0.6 VI
UGC 5228   5228        09 46 03.8 +01 40 06  9120 0.68     7.3  0.9 VI
UGC 5251   5251  3003  09 48 36.4 +33 25 17  1680 0.68    23.1  2.7 VI
UGC 5253   5253  2985  09 50 21.9 +72 16 47  6960 0.96     9.5  1.7 I
UGC 5272   5272        09 50 22.4 +31 29 16  8160 0.96     6.9  1.2 III
UGC 5279   5279  3026  09 50 55.3 +28 33 04  6000 0.68     5.0  0.6 VI
UGC 5316   5316  3027  09 55 40.4 +72 12 13  6240 0.96     8.7  1.5 I
UGC 5319   5319  3061  09 56 12.0 +75 51 59  7200 0.68     3.2  0.4 VI
UGC 5351   5351  3067  09 58 21.2 +32 22 12  7200 0.68     8.2  1.0 VI
UGC 5373   5373        10 00 00.5 +05 19 58  7680 0.68     6.0  0.7 VI
UGC 5398   5398  3077  10 03 20.0 +68 44 01  7920 0.68    20.9  2.5 VI
UGC 5414   5414  3104  10 03 57.1 +40 45 21  7200 0.96    11.8  2.1 III
IC  2542               10 07 50.5 +34 18 55  7440 0.68     1.6  0.2 VI
UGC 5510   5510  3162  10 13 31.7 +22 44 14  6240 0.68    18.9  2.2 VI
UGC 5532   5532  3147  10 16 53.5 +73 24 03  6480 0.68    27.8  3.3 VI
UGC 5556   5556  3187  10 17 47.9 +21 52 24  5760 0.68     3.2  0.4 VI
UGC 5721   5721  3274  10 32 16.9 +27 40 08  8160 0.96     5.3  0.9 I
UGC 5786   5786  3310  10 38 45.9 +53 30 12  4080 0.68   183.5 21.7 VI
UGC 5789   5789  3319  10 39 09.4 +41 41 11  6300 0.96 >= 16.0  2.8 I
UGC 5829   5829        10 42 43.7 +34 26 54 11760 0.96 >=  3.3  0.6 I
UGC 5840   5840  3344  10 43 31.1 +24 55 21  5760 0.68 >= 60.4  7.2 VI
UGC 5842   5842  3346  10 43 39.0 +14 52 18  6000 0.68     9.9  1.2 VI
